pw0	pw1	weight	features
IL8_CXCR2_PATHWAY	CMYB_PATHWAY	2.0	117 270
CXCR4_PATHWAY	CXCR3_PATHWAY	2.0	18 47
RB_1PATHWAY	PDGFRB_PATHWAY	2.0	0 15
GMCSF_PATHWAY	CXCR3_PATHWAY	2.0	18 47
TCR_PATHWAY	CXCR3_PATHWAY	2.0	18 47
INTEGRIN3_PATHWAY	S1P_S1P3_PATHWAY	2.0	55 136
INTEGRIN3_PATHWAY	VEGF_VEGFR_PATHWAY	2.0	99 136
FOXO_PATHWAY	TGFBR_PATHWAY	2.0	0 32
CXCR3_PATHWAY	IL4_2PATHWAY	2.0	18 47
RB_1PATHWAY	SMAD2_3NUCLEAR_PATHWAY	2.0	0 15
FCER1_PATHWAY	CXCR3_PATHWAY	2.0	18 47
