PW1	PW2	Weight	Nodes	Type
PA14_30650	PA14_32390	1.0		-1.0
PA14_30650	PA14_65280	1.0		-1.0
PA14_73370	PA14_30650	1.0		-1.0
PA14_30650	PA14_49180	1.0		-1.0
PA14_65410	PA14_65280	1.0		-1.0
PA14_45960	PA14_06330	1.0		-1.0
PA14_32420	PA14_68250	1.0		-1.0
PA14_52570	PA14_07170	1.0		-1.0
PA14_41870	PA14_37710	1.0		-1.0
PA14_73370	PA14_49180	1.0	166	-1.0
PA14_45960	PA14_41570	1.0		-1.0
PA14_30650	PA14_68250	1.0		-1.0
PA14_65410	PA14_25100	1.0		-1.0
PA14_52570	PA14_49180	1.0		-1.0
PA14_25100	PA14_41480	1.0		-1.0
PA14_44490	PA14_41240	1.0		-1.0
PA14_45960	PA14_13150	1.0		-1.0
PA14_65410	PA14_41570	1.0		-1.0
PA14_07170	PA14_62900	1.0		-1.0
PA14_04390	PA14_53820	1.0		-1.0
PA14_42380	PA14_62900	1.0		-1.0
PA14_52570	PA14_32390	1.0		-1.0
PA14_44490	PA14_68250	1.0		-1.0
PA14_45960	PA14_73020	1.0	287	-1.0
PA14_41870	PA14_30650	1.0		-1.0
PA14_65410	PA14_07170	1.0	23	-1.0
PA14_09260	PA14_07170	1.0		-1.0
PA14_65410	PA14_30210	1.0		-1.0
PA14_04390	PA14_68250	1.0		-1.0
PA14_45960	PA14_50220	1.0		-1.0
PA14_41870	PA14_41240	1.0	98	-1.0
PA14_44490	PA14_62900	1.0		-1.0
PA14_42380	PA14_41240	1.0		-1.0
PA14_32420	PA14_07170	1.0		-1.0
PA14_45960	PA14_41480	1.0		-1.0
PA14_44490	PA14_07500	1.0		-1.0
PA14_30650	PA14_44490	1.0		-1.0
PA14_06330	PA14_65280	1.0		-1.0
PA14_41870	PA14_07500	1.0		-1.0
PA14_73370	PA14_65320	1.0		-1.0
PA14_65410	PA14_52570	1.0		-1.0
PA14_09260	PA14_41870	1.0		-1.0
PA14_32420	PA14_62490	1.0		-1.0
PA14_46840	PA14_42380	1.0	276	-1.0
